mean,std,range,median,label
467.4586789,335.6960015,1229.467689,523.1867004,1
207.424093,314.3087398,1046.90116,3.962189291,1
2,6.47E-16,2.22E-15,2,0
2.010003636,0.046458282,0.288844174,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
1.989999954,0.046459097,0.288844163,2,0
2.01000005,0.046459096,0.288844163,2.000000009,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
1.990013129,0.046460651,0.288842415,2,0
2.00000004,0.069358527,0.509809203,2.000000007,0
2,6.47E-16,2.22E-15,2,0
1.990000021,0.046459111,0.288844163,2.000000014,0
1.999999995,0.019963702,0.17179804,1.999999973,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2.019999621,0.090748334,0.547509118,1.999999998,0
1.99000014,0.046459137,0.288844163,1.999999999,0
2.050000014,0.228838405,1.414041607,2.00000032,0
2.070002871,0.261793131,1.446193008,2.000000105,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
2,6.47E-16,2.22E-15,2,0
